resultno,reportdate,reportscope,reportperiod,scope,regioncode,industrytype
20200331430000G54,2020/03,合并,季报,all,430000,G54
20190930610000C25,2019/09,合并,季报,all,610000,C25
20190930110000M74,2019/09,合并,季报,all,110000,M74
20200630110000D46,2020/06,合并,半年报,all,110000,D46
20200630350000C19,2020/06,合并,半年报,all,350000,C19
20200331320000C33,2020/03,合并,季报,all,320000,C33
20190331440000L72,2019/03,合并,季报,all,440000,L72
20191231340000K70,2019/12,合并,年报,all,340000,K70
20191231440000C21,2019/12,合并,年报,all,440000,C21
20200630120000C26,2020/06,合并,半年报,all,120000,C26
20190331430000C27,2019/03,合并,季报,all,430000,C27
20191231310000M73,2019/12,合并,年报,all,310000,M73
20191231110000J68,2019/12,合并,年报,all,110000,J68
20200630620000B06,2020/06,合并,半年报,all,620000,B06
20191231530000A02,2019/12,合并,年报,all,530000,A02
20190630110000C35,2019/06,合并,半年报,all,110000,C35
20190630430000C29,2019/06,合并,半年报,all,430000,C29
20191231510000G54,2019/12,合并,年报,all,510000,G54
20190331640000C18,2019/03,合并,季报,all,640000,C18
20200930460000J69,2020/09,合并,季报,all,460000,J69
20200930360000C38,2020/09,合并,季报,all,360000,C38
20191231330000C25,2019/12,合并,年报,all,330000,C25
20190331310000C20,2019/03,合并,季报,all,310000,C20
20200331120000G59,2020/03,合并,季报,all,120000,G59
20190630120000G55,2019/06,合并,半年报,all,120000,G55
20190331450000C35,2019/03,合并,季报,all,450000,C35
20190331350000I64,2019/03,合并,季报,all,350000,I64
20200630610000J66,2020/06,合并,半年报,all,610000,J66
20200630110000C37,2020/06,合并,半年报,all,110000,C37
20191231320000C13,2019/12,合并,年报,all,320000,C13
20200331430000C25,2020/03,合并,季报,all,430000,C25
20200331330000M74,2020/03,合并,季报,all,330000,M74
20200331110000C39,2020/03,合并,季报,all,110000,C39
20190331320000C40,2019/03,合并,季报,all,320000,C40
20190630220000C38,2019/06,合并,半年报,all,220000,C38
20190930330000E48,2019/09,合并,季报,all,330000,E48
20191231430000P83,2019/12,合并,年报,all,430000,P83
20191231430000Q83,2019/12,合并,年报,all,430000,Q83
20191231220000I65,2019/12,合并,年报,all,220000,I65
20190930350000J67,2019/09,合并,季报,all,350000,J67
20200930460000G54,2020/09,合并,季报,all,460000,G54
20190630510000C34,2019/06,合并,半年报,all,510000,C34
20190331110000B06,2019/03,合并,季报,all,110000,B06
20191231330000C18,2019/12,合并,年报,all,330000,C18
20190630210000I65,2019/06,合并,半年报,all,210000,I65
20191231130000A03,2019/12,合并,年报,all,130000,A03
20200630350000G55,2020/06,合并,半年报,all,350000,G55
20200630450000A04,2020/06,合并,半年报,all,450000,A04
20200331120000I64,2020/03,合并,季报,all,120000,I64
20200630520000G56,2020/06,合并,半年报,all,520000,G56
20190630430000C14,2019/06,合并,半年报,all,430000,C14
20200930540000M74,2020/09,合并,季报,all,540000,M74
20200930410000K70,2020/09,合并,季报,all,410000,K70
20190630310000C13,2019/06,合并,半年报,all,310000,C13
20190930410000Q85,2019/09,合并,季报,all,410000,Q85
20190930410000R85,2019/09,合并,季报,all,410000,R85
20200930230000A01,2020/09,合并,季报,all,230000,A01
20200331110000A04,2020/03,合并,季报,all,110000,A04
20200630460000I64,2020/06,合并,半年报,all,460000,I64
